県,県No,学校名,試合数,打率,本塁打,犠打,盗塁
北北海道,1,クラーク記念国際,6,0.354,1,17,4
南北海道,2,北海,7,0.379,3,34,2
青森,3,八戸学院光星,6,0.375,3,20,23
岩手,4,盛岡大付,6,0.395,2,14,11
宮城,5,東北,6,0.374,1,22,13
秋田,6,大曲工,5,0.197,0,8,6
山形,7,鶴岡東,5,0.35,7,13,5
福島,8,聖光学院,6,0.333,3,16,13
茨城,9,常総学院,6,0.31,3,9,12
栃木,10,作新学院,6,0.432,2,5,9
群馬,11,前橋育英,6,0.257,3,14,15
埼玉,12,花咲徳栄,7,0.389,4,22,8
千葉,13,木更津総合,7,0.275,2,22,11
東東京,14,関東一,6,0.267,4,15,7
西東京,15,八王子,6,0.317,1,13,23
神奈川,16,横浜,7,0.364,14,16,8
新潟,17,中越,6,0.319,2,15,23
富山,18,富山第一,5,0.336,0,24,16
石川,19,星稜,5,0.366,9,18,11
福井,20,北陸,5,0.289,1,5,13
山梨,21,山梨学院,5,0.49,5,6,5
長野,22,佐久長聖,6,0.333,0,17,5
岐阜,23,中京,6,0.269,4,9,9
静岡,24,常葉菊川,7,0.41,8,16,19
愛知,25,東邦,6,0.286,6,10,19
三重,26,いなべ総合,5,0.353,1,6,9
滋賀,27,近江,6,0.378,5,12,14
京都,28,京都翔英,6,0.433,3,12,8
大阪,29,履正社,8,0.404,7,20,6
兵庫,30,市尼崎,8,0.237,2,25,15
奈良,31,智弁学園,5,0.319,5,19,6
和歌山,32,市和歌山,5,0.309,4,22,11
鳥取,33,境,4,0.347,3,12,8
島根,34,出雲,6,0.312,0,23,18
岡山,35,創志学園,6,0.332,1,14,12
広島,36,広島新庄,6,0.366,3,23,22
山口,37,高川学園,6,0.374,0,20,24
徳島,38,鳴門,4,0.294,1,14,4
香川,39,尽誠学園,6,0.367,3,26,11
愛媛,40,松山聖陵,6,0.307,6,21,15
高知,41,明徳義塾,4,0.318,2,5,9
福岡,42,九州国際大附,7,0.355,5,14,13
佐賀,43,唐津商,4,0.31,0,19,6
長崎,44,長崎商,5,0.225,0,19,3
熊本,45,秀岳館,5,0.405,0,8,31
大分,46,大分,5,0.339,3,12,10
宮崎,47,日南学園,5,0.377,1,11,6
鹿児島,48,樟南,7,0.296,1,33,9
沖縄,49,嘉手納,7,0.322,4,12,4
