県,県No,学校名,主戦投手,投手数,投球回数,失点,防御率
北北海道,1,クラーク記念国際,平沢津,1,41.3,7,1.53
南北海道,2,北海,大西,1,51,10,1.76
青森,3,八戸学院光星,桜井、和田,2,43.3,11,2.29
岩手,4,盛岡大付,三浦、坪田,2,34.7,3,0.78
宮城,5,東北,渡辺,1,48,8,1.5
秋田,6,大曲工,藤井、鈴木理,2,40.7,10,2.21
山形,7,鶴岡東,吉住、須藤,2,26,6,2.08
福島,8,聖光学院,鈴木拓,1,32.7,8,2.2
茨城,9,常総学院,倉田、鈴木昭,2,39.7,4,0.91
栃木,10,作新学院,今井、入江,2,32,8,2.25
群馬,11,前橋育英,佐藤,1,52,9,1.56
埼玉,12,花咲徳栄,高橋昂,1,37,0,0
千葉,13,木更津総合,早川,1,46,11,2.15
東東京,14,関東一,佐藤奨、竹井,2,45,11,2.2
西東京,15,八王子,早乙女,1,31.3,13,3.74
神奈川,16,横浜,藤平、石川,2,42,10,2.14
新潟,17,中越,今村,1,33.3,7,1.89
富山,18,富山第一,森圭名、中津原,2,30.3,2,0.59
石川,19,星稜,小倉、竹谷、寺西,3,29.3,11,3.38
福井,20,北陸,水野,1,32,11,3.09
山梨,21,山梨学院,栗尾、吉松,2,21.7,6,2.49
長野,22,佐久長聖,塩沢、小林,2,36,7,1.75
岐阜,23,中京,古田,1,30.3,4,1.19
静岡,24,常葉菊川,落合,1,42,4,0.86
愛知,25,東邦,藤嶋,1,34,2,0.53
三重,26,いなべ総合,水谷優、赤木,2,29.3,3,0.92
滋賀,27,近江,京山、深田,2,41,2,0.44
京都,28,京都翔英,滝野、高向,2,38,8,1.89
大阪,29,履正社,寺島、山口,2,53,4,0.68
兵庫,30,市尼崎,平林,1,57,8,1.26
奈良,31,智弁学園,村上,1,40.3,13,2.9
和歌山,32,市和歌山,赤羽、栗栖,2,44,7,1.43
鳥取,33,境,隠家,1,29,19,5.9
島根,34,出雲,原,1,37,6,1.46
岡山,35,創志学園,高田,1,38,3,0.71
広島,36,広島新庄,堀,1,44,10,2.05
山口,37,高川学園,山野,1,47,4,0.77
徳島,38,鳴門,河野,1,28,6,1.93
香川,39,尽誠学園,渡辺,1,35.7,12,3.03
愛媛,40,松山聖陵,アドゥワ,1,41.7,9,1.94
高知,41,明徳義塾,中野,1,27,2,0.67
福岡,42,九州国際大附,藤本、石本,2,40.7,15,3.32
佐賀,43,唐津商,谷口,1,35.7,8,2.02
長崎,44,長崎商,本田,1,45,5,1
熊本,45,秀岳館,田浦、川端,2,25.7,5,1.75
大分,46,大分,石本,1,36.3,9,2.23
宮崎,47,日南学園,森山,1,31,3,0.87
鹿児島,48,樟南,浜屋,1,44.7,5,1.01
沖縄,49,嘉手納,仲地,1,43.3,7,1.45
